NearestPond,Type
292.597666017924,2
340.6188067982577,2
391.01748928840743,2
442.98210407510953,2
465.1150704806845,2
479.25363669360524,0
469.2711240972566,2
463.6168557518973,2
464.72985256431787,2
472.56227659237265,2
486.78971908203044,2
493.5237339924044,0
472.1587577886291,0
456.74862127280767,0
447.90873010044845,0
417.3934862440024,2
391.0717146935136,2
371.5146724628625,2
338.4398152544462,2
307.7712128196145,2
285.16270242893984,2
272.6274706066746,2
271.5643233182242,2
274.34088145341394,2
270.904752161093,2
279.15820332212456,2
298.13180858695716,2
325.95853836427096,2
360.5941084359633,2
400.2742722613742,2
443.64678295458083,2
489.73079509291017,2
537.8288963654821,2
587.4456724946153,2
638.2260902731438,2
689.9122823322595,2
742.3140759696556,2
743.6250394255575,1
717.3392997613457,1
694.533283616336,1
675.560066408468,1
660.7503741310403,1
650.3890499541639,1
644.6908611430224,1
643.7797789893038,1
647.6760274686509,1
656.2939008284994,1
669.4508780872521,1
686.8858718858299,1
708.282632056365,1
733.293952815459,1
761.5632217184393,1
792.7413403835807,1
826.4984790101515,1
862.5311233201104,1
900.5653671694834,1
940.3575120323987,1
981.6929189300438,1
1024.3838530768253,1
1068.266849332487,1
1113.1999466328784,1
1159.060003246985,1
1205.74020916365,1
1253.1478490369336,1
1301.2023301438496,1
1349.83346724866,1
1383.3925660761795,2
1414.0278839384036,2
1446.0474091135643,2
956.9715984314976,0
964.2767276629438,0
975.1052758422525,0
989.3414023441092,0
1006.8403729206541,0
1027.4352393660718,0
1050.9437218331555,0
1022.7345676543187,0
967.5408384408408,0
912.5123470715167,0
857.6822033064736,0
803.0923393512427,0
748.7966149707155,0
694.8652913207993,0
641.3916037412467,0
588.50161975076,0
536.3693433361316,0
485.24034955990317,0
435.4694600024545,0
387.5814967431258,0
342.36871915702903,0
301.04007624560245,0
265.41731132936246,0
238.0765358211459,0
206.88354373271946,0
175.24498478768936,2
149.44307293365804,2
142.86224962671886,2
157.92408263222177,2
189.53711468151036,2
231.0028107493642,2
277.94530641974336,2
328.02088713010403,2
379.99209289017654,2
425.5928002379771,2
439.8613876816208,2
452.89803015499103,0
443.1456076559304,2
437.16656862248396,2
438.3441876905562,2
446.62183165105154,2
461.6175280379155,2
469.06587278159407,2
447.18866607891795,0
430.92219585400665,0
421.5614861504613,0
394.88424943701324,2
367.0132850179493,2
346.1454099195818,2
317.5364306432812,2
284.6979485868389,2
260.14597195451336,2
246.37103675621975,2
245.1965650568668,2
248.25360743192968,2
244.45916253732582,2
253.55590441642892,2
274.2639229477788,2
304.2208978017665,2
340.99734374904983,2
382.63126986618704,2
427.70574575516105,2
475.2419893056705,2
524.5702922779554,2
575.2288832090956,2
626.8943871709163,2
679.3361175842957,2
732.3863377994082,2
720.6255467106213,1
693.5294023696817,1
669.9661063250805,1
650.3203889540231,1
634.9564797310288,1
624.191018884945,1
618.2645271877976,1
617.3165323368379,1
621.3698438322801,1
630.3278907200247,1
643.985816581511,1
662.0524978265046,1
684.1783502094654,1
709.9834708534394,1
739.0819874255446,1
771.1004883773841,1
805.6902001106749,1
842.5337219441491,1
881.3476142876075,1
921.882158099445,1
963.9193904099716,1
1007.2702363572146,1
1051.7712933710548,1
1097.2816133715378,1
1143.6796785184795,1
1190.8606660335918,1
1238.7340352690273,1
1287.2214339270442,1
1331.3102203496571,2
1360.8899285893335,2
1391.9493505754099,2
1424.3908520049638,2
983.3240387479799,0
990.4215613673808,0
1000.9476809225185,0
1014.7955609369632,0
1031.831271154669,0
1051.8996977397328,0
1071.8942372251274,0
1016.3477979120121,0
960.9092223474121,0
905.5996411947859,0
850.445545724912,0
795.4806034707792,0
740.7482502127821,0
686.3054653532562,0
632.2283932467565,0
578.6209160131322,0
525.6280696156415,0
473.45761928771776,0
422.41572060891554,0
372.96732749799486,0
325.8400315592929,0
282.20036966828576,0
243.92861184301807,0
213.926430976651,0
185.06377141769016,0
154.43488604377995,2
124.45975167330025,2
116.49324846436059,2
134.50470601372675,2
170.44838369548683,2
215.53155818863658,2
265.13157540746926,2
317.13537778225447,2
370.531375845556,2
399.6291041142732,2
414.7595061014549,2
426.5568998760454,0
417.06380403342524,2
410.7191647358044,2
411.96967150080087,2
420.7475808786207,2
436.59891631129574,2
442.62609169323974,2
422.4012942309124,0
405.1790631716522,0
395.23098296020777,0
372.89529509170814,2
343.30997226370295,2
320.95424087204134,2
297.5204254255684,2
262.26721106020165,2
235.4476651982229,2
220.16637555725947,2
218.85413177382404,2
222.25744767387255,2
218.0201497961143,2
228.15224284262825,2
250.91882224995473,2
283.2895637301158,2
322.3836759984796,2
366.0526099162333,2
412.84641069141094,2
461.8153072053087,2
512.3350836119349,2
563.98817916037,2
616.4888082931035,2
669.6366470993967,2
723.2880053568622,2
697.8712297059665,1
669.918582090142,1
645.5490296479597,1
625.1823421412291,1
609.2206239633763,1
598.0170993250268,1
591.8423239211467,1
590.8541298953525,1
